,parameter,safe_mean,phishing_mean,safe_var,phishing_var,safe_n,phishing_n,t_value,relevant
3,qty_slash_url,0.3193793103448276,3.1031422325186804,0.6471347871581451,4.080300434072126,58000.0,30647.0,231.7420628512833,True
100,time_domain_activation,5691.707355980947,2384.7616881475865,4695174.872007541,3875218.04212078,44508.0,19785.0,190.49622854336866,True
18,length_url,21.245689655172413,64.92828009266812,148.27249866230676,4642.503029974997,58000.0,30647.0,111.29926123851587,True
43,qty_slash_directory,1.6383698166933618,3.0890635451505015,1.1427598269302213,3.501131230075727,11238.0,29900.0,98.07766788324079,True
19,qty_dot_domain,2.0042241379310344,1.6177766176134696,0.354551122175981,0.6714078147526408,58000.0,30647.0,73.00469296198712,True
40,qty_dot_directory,0.1612386545648692,0.5687290969899665,0.16869866149923982,0.7238047393205892,11238.0,29900.0,65.06828525501155,True
57,directory_length,12.17013703505962,29.205451505016722,408.23017422930815,1044.1133415185511,11238.0,29900.0,63.8219031629429,True
58,qty_dot_file,0.14931482470190424,0.4396655518394649,0.1336047093922588,0.3056908580440934,11238.0,29900.0,61.74541063905429,True
5,qty_equal_url,0.023706896551724137,0.5505922276242373,0.08252418995243758,2.2961890805321437,58000.0,30647.0,60.30054351913362,True
1,qty_hyphen_url,0.16577586206896552,0.6373543903155284,0.7321562945897739,2.0925883999728128,58000.0,30647.0,52.428772948862964,True
17,qty_tld_url,1.0077758620689654,1.1226221163572292,0.008611949762187869,0.1627952519571094,58000.0,30647.0,49.1477274679677,True
101,time_domain_expiration,571.5621285289748,341.61962303124193,526459.0087236268,191485.63770427302,43072.0,19365.0,48.90069895228366,True
2,qty_underline_url,0.022482758620689654,0.2868469997063334,0.0688393531510107,1.0754503874957295,58000.0,30647.0,43.8913059937011,True
82,qty_at_params,0.0,0.23751486325802615,0.0,0.20547729615244859,694.0,6728.0,42.97856020980908,True
7,qty_and_url,0.011827586206896551,0.38512741867066924,0.04789459096313911,2.292339905290244,58000.0,30647.0,42.9267601482765,True
96,email_in_url,1.7241379310344828e-05,0.0529905047802395,1.7241082045184306e-05,0.05018251118337491,58000.0,30647.0,41.393781240900736,True
0,qty_dot_url,2.0376379310344825,2.4822331712728816,0.40532476545778834,3.5198249734642246,58000.0,30647.0,40.278361941248356,True
98,domain_spf,0.1368379131819992,0.2617263157894737,0.1181132986979948,0.19322565141274237,50220.0,23750.0,38.5639285712412,True
94,tld_present_params,0.027377521613832854,0.32045184304399527,0.026627992924116963,0.2177624593337019,694.0,6728.0,34.846500540217924,True
107,qty_redirects,0.520539872635681,0.34551266627711136,0.5150661851082055,0.4531985934273702,52605.0,29093.0,34.7500740923903,True
93,params_length,28.763688760806918,78.58427467300832,717.0392578627846,10101.674229527409,694.0,6728.0,31.29327800531016,True
36,qty_vowels_domain,5.234931034482758,5.8298038959767675,5.000428098692032,8.984509319718562,58000.0,30647.0,30.541443948611803,True
20,qty_hyphen_domain,0.07855172413793103,0.1827585081737201,0.0987951438763377,0.3209243839762129,58000.0,30647.0,29.864923591026358,True
76,qty_dot_params,0.15129682997118155,1.370243757431629,0.48863664676228535,7.314019441176845,694.0,6728.0,28.801432842597556,True
102,qty_ip_resolved,1.2944706465287845,1.1671884994781672,0.6749908059275682,0.4220362223206889,54491.0,29703.0,24.6809277661888,True
104,qty_mx_servers,1.8411551724137931,1.5555845596632623,3.0689234931629015,2.564005015258056,58000.0,30647.0,24.43587700653413,True
4,qty_questionmark_url,0.0001896551724137931,0.026625770874800142,0.00018961920332936973,0.03583624403583264,58000.0,30647.0,24.41316650669061,True
6,qty_at_url,3.4482758620689657e-05,0.0639540574933925,3.448156956004757e-05,0.22346885657039686,58000.0,30647.0,23.670185085748038,True
80,qty_questionmark_params,0.001440922190201729,0.11117717003567182,0.0014388459334435135,0.13538042164288308,694.0,6728.0,23.292736423255594,True
99,asn_ip,30724.69950070655,38797.77126361731,1566024541.698621,3109761174.9154797,53075.0,29099.0,21.861135192286145,True
110,url_shortened,0.00015517241379310346,0.015564329298136849,0.00015514833531510107,0.015322080951636013,58000.0,30647.0,21.734780019388218,True
103,qty_nameservers,2.836206896551724,2.6516787940092015,1.9459304399524373,1.3578056947188382,58000.0,30647.0,20.913112564221805,True
45,qty_equal_directory,0.00026695141484249865,0.022408026755852843,0.0008007829814696099,0.03334403418306283,11238.0,29900.0,20.327103057512932,True
78,qty_underline_params,0.17002881844380405,0.6942627824019025,0.2160469732328979,2.8903238025268605,694.0,6728.0,19.259474373351477,True
79,qty_slash_params,0.06051873198847262,0.36459571938168844,0.12602048019666304,2.099977214678466,694.0,6728.0,13.685077690919202,True
75,file_length,5.335024025627336,7.7184949832775915,200.71610914250877,421.14319639713193,11238.0,29900.0,13.335360132477842,True
38,domain_in_ip,0.0002586206896551724,0.006069109537638268,0.00025855380499405467,0.0060322754470584165,58000.0,30647.0,12.950990614658771,True
77,qty_hyphen_params,0.10518731988472622,0.48543400713436385,0.37078000813892664,3.1068032896401854,694.0,6728.0,12.048351556751463,True
10,qty_tilde_url,0.00032758620689655175,0.008712108852416224,0.0006378237217598096,0.016402057850243252,58000.0,30647.0,11.345052543107549,True
106,tls_ssl_certificate,0.5196206896551724,0.48151531960713934,0.2496150285374554,0.24965831659077375,58000.0,30647.0,10.799462512045219,True
59,qty_hyphen_file,0.21142552055525896,0.09204013377926422,1.4304727676775857,0.4259098846769052,11238.0,29900.0,10.03510035840086,True
108,url_google_index,0.003350025902262131,0.0006852220445720625,0.003338803228716304,0.0006847525153216949,57910.0,30647.0,9.421607276468283,True
83,qty_and_params,0.9351585014409222,1.5827883472057076,2.703288375453662,6.84986428219477,694.0,6728.0,9.23928560724888,True
92,qty_percent_params,2.6930835734870318,0.43593935790725324,41.498021327309424,7.04197233401576,694.0,6728.0,9.150761987379191,True
66,qty_exclamation_file,0.0,0.003076923076923077,0.0,0.003535683046050938,11238.0,29900.0,8.947785617372055,True
65,qty_and_file,0.00026695141484249865,0.0041137123745819395,0.00044484776167961115,0.004364348273509245,11238.0,29900.0,8.930295029693713,True
63,qty_equal_file,0.00026695141484249865,0.004782608695652174,0.0008007829814696099,0.0071008724734622644,11238.0,29900.0,8.126838823574886,True
48,qty_exclamation_directory,0.0,0.0048160535117056855,0.0,0.010679146765696132,11238.0,29900.0,8.05858183168631,True
50,qty_tilde_directory,0.0016906922940024916,0.008762541806020067,0.003289542342624485,0.016645625887853604,11238.0,29900.0,7.673089491188601,True
8,qty_exclamation_url,0.0008620689655172414,0.0068848500668907235,0.0008613258026159336,0.020411371313208016,58000.0,30647.0,7.299049891775476,True
16,qty_percent_url,0.07524137931034483,0.16856462296472738,2.4913732175980985,3.862603033176631,58000.0,30647.0,7.178923780053621,True
87,qty_comma_params,0.0,0.01917360285374554,0.0,0.05269420410699564,694.0,6728.0,6.851178681570168,True
47,qty_and_directory,0.00026695141484249865,0.013277591973244147,0.00044484776167961115,0.10694745137079004,11238.0,29900.0,6.841622737266246,True
60,qty_underline_file,0.0805303434774871,0.044381270903010035,0.2553942017398892,0.16869919911410383,11238.0,29900.0,6.787070020013913,True
105,ttl_hostname,6652.130833746261,6180.688089146243,186233278.49493086,44553916.32046681,54489.0,29704.0,6.7227350423058745,True
11,qty_comma_url,0.0005862068965517242,0.005155480144875518,0.0016203460166468499,0.013612602673576847,58000.0,30647.0,6.6500519634539215,True
88,qty_plus_params,0.09221902017291066,0.012039239001189061,0.11253311629529356,0.04162081177777998,694.0,6728.0,6.179796966508968,True
74,qty_percent_file,0.21489588894821143,0.029498327759197324,9.780568288680378,1.5970562700640927,11238.0,29900.0,6.100038359660481,True
42,qty_underline_directory,0.09886100729667201,0.1346153846153846,0.31279279417097333,0.32973822999742725,11238.0,29900.0,5.735473609691357,True
15,qty_dollar_url,0.0,0.0054817763565765,0.0,0.0287492760000031,58000.0,30647.0,5.659809860443864,True
81,qty_equal_params,1.9135446685878963,2.293103448275862,2.736041325814515,5.248216409036861,694.0,6728.0,5.52324161724996,True
41,qty_hyphen_directory,0.4423384943940203,0.352943143812709,3.1258351436525467,1.0205481940917889,11238.0,29900.0,5.0587395945343765,True
64,qty_at_file,0.0,0.0008695652173913044,0.0,0.0009356987058310312,11238.0,29900.0,4.915523077835918,True
56,qty_percent_directory,0.22139170670937888,0.07237458193979933,9.827120255713385,2.331216769387366,11238.0,29900.0,4.828603512432887,True
13,qty_asterisk_url,0.0,0.013117107710379482,0.0,0.26308372508566674,58000.0,30647.0,4.476979210116556,True
46,qty_at_directory,0.0001779676098949991,0.009966555183946488,0.00017793593742482743,0.1544157179449894,11238.0,29900.0,4.3007593741765575,True
55,qty_dollar_directory,0.0,0.0038795986622073577,0.0,0.02486789185803292,11238.0,29900.0,4.254053133859286,True
9,qty_space_url,0.0,0.0029366659053088394,0.0,0.015262038700966561,58000.0,30647.0,4.161426706863038,True
97,time_response,0.9050504439608473,0.9497819993846784,1.7377412656460434,2.66244031663383,53534.0,29253.0,4.025546671992896,True
109,domain_google_index,0.0035053184141456,0.002088295754886286,0.0034930311569610515,0.0020839347757264097,57912.0,30647.0,3.955846661298693,True
53,qty_asterisk_directory,0.0,0.01096989966555184,0.0,0.2432241429066789,11238.0,29900.0,3.846226968874537,True
49,qty_space_directory,0.0,0.0023411371237458192,0.0,0.013104886969944409,11238.0,29900.0,3.5362731707408024,True
91,qty_dollar_params,0.0,0.005053507728894174,0.0,0.013945924604223793,694.0,6728.0,3.510041644795164,True
84,qty_exclamation_params,0.0,0.006539833531510107,0.0,0.029089216308652428,694.0,6728.0,3.1451667412319764,True
69,qty_comma_file,0.003025449368214985,0.0005351170568561873,0.008355324321185326,0.001471285556089977,11238.0,29900.0,2.7970751042557525,True
95,qty_params,1.7334293948126802,1.8836206896551724,1.7920525043809017,3.161693668252081,694.0,6728.0,2.7185831070653514,True
67,qty_space_file,0.0,0.0012709030100334449,0.0,0.006754237648348453,11238.0,29900.0,2.6739903389098547,True
37,domain_length,18.514120689655172,18.649198942800275,28.21490405439952,72.53765581734089,58000.0,30647.0,2.5287661314448564,True
14,qty_hashtag_url,0.0,0.0014683329526544197,0.0,0.010994026332663246,58000.0,30647.0,2.4515465451016976,True
12,qty_plus_url,0.0021379310344827587,0.004013443403922081,0.012167843043995251,0.01254629642253133,58000.0,30647.0,2.3834965362498504,True
51,qty_comma_directory,0.003025449368214985,0.0009698996655518394,0.008355324321185326,0.0020391930739029765,11238.0,29900.0,2.2815666267422365,True
86,qty_tilde_params,0.0,0.0007431629013079667,0.0,0.0007426106102100862,694.0,6728.0,2.236899322279786,True
89,qty_asterisk_params,0.0,0.0011890606420927466,0.0,0.002971237740021291,694.0,6728.0,1.7892799450799575,True
85,qty_space_params,0.0,0.0010404280618311534,0.0,0.0028229365344184286,694.0,6728.0,1.6062180108116197,False
71,qty_asterisk_file,0.0,0.0034782608695652175,0.0,0.1407236876545005,11238.0,29900.0,1.603297596460551,False
52,qty_plus_directory,0.004805125467164976,0.00137123745819398,0.05301125851795453,0.003442935761344952,11238.0,29900.0,1.5621025797638948,False
70,qty_plus_file,0.003826303612742481,0.0008361204013377926,0.04527811611894036,0.001905655417724634,11238.0,29900.0,1.478053018025281,False
21,qty_underline_domain,0.0008620689655172414,0.0005547035598916696,0.0012061533888228307,0.0007501735908729023,58000.0,30647.0,1.4445491919828874,False
25,qty_at_domain,0.0,3.2629621170098216e-05,0.0,3.262855647792053e-05,58000.0,30647.0,1.0000163152098551,False
39,server_client_domain,0.004362068965517241,0.0047639246908343395,0.004343041319857315,0.0047412297123743995,58000.0,30647.0,0.8386849095332187,False
68,qty_tilde_file,0.0007118704395799964,0.0006020066889632107,0.002313072169112242,0.001002982069551795,11238.0,29900.0,0.22455312094286659,False
22,qty_slash_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
23,qty_questionmark_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
24,qty_equal_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
26,qty_and_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
27,qty_exclamation_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
28,qty_space_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
29,qty_tilde_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
30,qty_comma_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
31,qty_plus_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
32,qty_asterisk_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
33,qty_hashtag_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
34,qty_dollar_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
35,qty_percent_domain,0.0,0.0,0.0,0.0,58000.0,30647.0,,False
44,qty_questionmark_directory,0.0,0.0,0.0,0.0,11238.0,29900.0,,False
54,qty_hashtag_directory,0.0,0.0,0.0,0.0,11238.0,29900.0,,False
61,qty_slash_file,0.0,0.0,0.0,0.0,11238.0,29900.0,,False
62,qty_questionmark_file,0.0,0.0,0.0,0.0,11238.0,29900.0,,False
72,qty_hashtag_file,0.0,0.0,0.0,0.0,11238.0,29900.0,,False
73,qty_dollar_file,0.0,0.0,0.0,0.0,11238.0,29900.0,,False
90,qty_hashtag_params,0.0,0.0,0.0,0.0,694.0,6728.0,,False
